"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Arl13b1",0.000662678417930538,0.538978244225761,0.441,0.203,1,"18","Arl13b"
"Dhx30",0.000664775324320875,0.312638186210198,0.382,0.171,1,"18","Dhx30"
"Asah14",0.000665344629629927,0.313669095248234,0.5,0.249,1,"18","Asah1"
"Arrdc43",0.000676430075110774,0.318667220120747,0.353,0.152,1,"18","Arrdc4"
"Cyb5r34",0.000710679912872544,0.351188851208167,0.559,0.31,1,"18","Cyb5r3"
"Bach15",0.00076091439553867,0.389597545940765,0.529,0.276,1,"18","Bach1"
"BC0055372",0.000823583750497914,0.368439548429471,0.765,0.502,1,"18","BC005537"
"Ubc2",0.000836339538054855,0.402348234865545,1,0.934,1,"18","Ubc"
"Cnot6",0.000954768759714232,0.265952786805328,0.559,0.299,1,"18","Cnot6"
"Agap12",0.000970346695736428,0.316289700973342,0.412,0.186,1,"18","Agap1"
"Zfp281",0.000970481397993736,0.285041188326993,0.353,0.151,1,"18","Zfp281"
"Sepw12",0.00100046036256862,0.345028580005422,1,0.883,1,"18","Sepw1"
"Taok1",0.00102644998527803,0.367457250703521,0.471,0.249,1,"18","Taok1"
"Tsc22d21",0.00106459249729253,0.358119062034794,0.5,0.252,1,"18","Tsc22d2"
"Purb3",0.00107368281403031,0.369174582962842,0.765,0.553,1,"18","Purb"
"Nucks12",0.00109361068565193,0.289463702250867,0.676,0.36,1,"18","Nucks1"
"Stat33",0.00109417506246481,0.359092902863911,0.971,0.753,1,"18","Stat3"
"Tspan37",0.00110754798070105,0.423588389295929,0.441,0.223,1,"18","Tspan3"
"Ube2m",0.0011159909823403,0.272134520197979,0.647,0.359,1,"18","Ube2m"
"Pqlc12",0.0011395752381599,0.544525834352451,0.412,0.209,1,"18","Pqlc1"
"Kmt2c",0.00114497830475779,0.278070590645657,0.5,0.252,1,"18","Kmt2c"
"Ppp1r21",0.00117902237996616,0.389854411221478,0.765,0.508,1,"18","Ppp1r2"
"Rrbp13",0.00121967946981905,0.324377771897411,0.794,0.518,1,"18","Rrbp1"
"Eif4g3",0.00124562983122794,0.2729436912579,0.5,0.249,1,"18","Eif4g3"
"Slc25a43",0.00130897138489343,0.291655710862973,0.765,0.548,1,"18","Slc25a4"
"Pcf11",0.00132743912967983,0.254672722103419,0.529,0.279,1,"18","Pcf11"
"Higd2a2",0.00141476935658109,0.263929943216608,0.824,0.489,1,"18","Higd2a"
"Notch1",0.00144798096121093,0.264174801571522,0.382,0.179,1,"18","Notch1"
"Mcl18",0.00154769126731096,0.337307326685171,0.853,0.562,1,"18","Mcl1"
"Lims12",0.00161868493986156,0.295458249689578,0.559,0.296,1,"18","Lims1"
"Fam21",0.00176887760047284,0.255481983736143,0.353,0.159,1,"18","Fam21"
"Erlec1",0.0017808779975693,0.281362684221927,0.353,0.156,1,"18","Erlec1"
"Brd2",0.00179662764734155,0.399571225781574,0.853,0.62,1,"18","Brd2"
"Ecm13",0.00180527127117173,0.322679982192819,0.382,0.183,1,"18","Ecm1"
"Fam76b",0.00183792704358592,0.288790366330394,0.353,0.163,1,"18","Fam76b"
"Ralgds",0.00189950744749459,0.431718399936208,0.294,0.13,1,"18","Ralgds"
"Glg1",0.00190453737250645,0.361588573630597,0.412,0.207,1,"18","Glg1"
"Ptpra",0.00191277200373629,0.250273012430013,0.529,0.287,1,"18","Ptpra"
"Camkk25",0.00191468522686816,0.254636667118662,0.471,0.236,1,"18","Camkk2"
"Son",0.00194630928618433,0.283636949052675,0.912,0.788,1,"18","Son"
"mt-Nd22",0.00203897663012804,0.268246221587309,1,0.799,1,"18","mt-Nd2"
"Mbnl2",0.00210989915470498,0.344058655276206,0.647,0.379,1,"18","Mbnl2"
"Actn41",0.00216510317697074,0.321502158049543,0.706,0.431,1,"18","Actn4"
"Rsu11",0.00229708315493361,0.305379150169884,0.529,0.296,1,"18","Rsu1"
"Rdx",0.0023919095711115,0.262586883315399,0.706,0.419,1,"18","Rdx"
"Celf2",0.00243877863818387,0.284964467511457,0.794,0.554,1,"18","Celf2"
