"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gm100362",2.73471503711178e-11,0.391730583038499,0.77,0.715,7.66403889150577e-07,"10","Gm10036"
"Ikzf33",3.03060239350494e-11,0.406304827814618,0.5,0.34,8.49326320779759e-07,"10","Ikzf3"
"S100a42",6.14301852973103e-11,0.32935507563369,0.943,0.949,1.72158094295712e-06,"10","S100a4"
"Rpl53",9.59743013050799e-11,0.299348736329633,0.852,0.863,2.68967979407486e-06,"10","Rpl5"
"Wsb1",1.00928584219473e-10,0.527857804262762,0.533,0.457,2.82852357275073e-06,"10","Wsb1"
"Nr3c14",1.01755669725187e-10,0.338930520993081,0.631,0.527,2.85170264404836e-06,"10","Nr3c1"
"Tmem642",1.18004673519244e-10,0.420645301381132,0.455,0.313,3.30708097537683e-06,"10","Tmem64"
"Bhlhe402",1.50095873093433e-10,0.540126418915221,0.516,0.41,4.20643684344346e-06,"10","Bhlhe40"
"Gm20002",1.64005112849593e-10,0.375920905152056,0.689,0.633,4.59624328760985e-06,"10","Gm2000"
"Socs11",3.71940129131029e-10,0.489618913001186,0.537,0.451,1.04236221188971e-05,"10","Socs1"
"4930523C07Rik2",4.58118356777684e-10,0.520729843291139,0.664,0.638,1.28387669486946e-05,"10","4930523C07Rik"
"Cox7a2l",4.72189343002035e-10,0.35815462748078,0.734,0.74,1.3233106337632e-05,"10","Cox7a2l"
"Rpl6l3",5.7015871121642e-10,0.342996826545527,0.791,0.782,1.59786978818402e-05,"10","Rpl6l"
"S100a106",8.17135081674126e-10,0.277171344058569,0.959,0.885,2.29002106639174e-05,"10","S100a10"
"Ipmk1",9.1808121427396e-10,0.507252773581521,0.291,0.171,2.57292260300277e-05,"10","Ipmk"
"Stk243",1.30315141710808e-09,0.408245148233407,0.557,0.47,3.65208184644539e-05,"10","Stk24"
"Srsf21",1.75022295359467e-09,0.3873347822794,0.836,0.876,4.90499982744905e-05,"10","Srsf2"
"Hcst4",2.30278056521845e-09,0.261082165162094,0.803,0.752,6.45354253402471e-05,"10","Hcst"
"Coro1a5",2.45243462889755e-09,0.261421017651323,0.869,0.756,6.87294804748538e-05,"10","Coro1a"
"Cdc42ep31",3.13576144243072e-09,0.438094546463925,0.451,0.336,8.78797144241209e-05,"10","Cdc42ep3"
